City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Carnarvon,AU,2020-04-19 06:36:30,-24.87,113.63,80.6,61,14,17.22,few clouds,0.0,0.0
1,Avarua,CK,2020-04-19 06:32:56,-21.21,-159.78,78.8,78,47,9.17,scattered clouds,0.0,0.0
2,Polson,US,2020-04-19 06:36:31,47.69,-114.16,42.01,25,99,1.28,light rain,0.0,0.0
3,Lasa,IT,2020-04-19 06:36:31,46.62,10.7,52.0,93,75,6.93,broken clouds,0.0,0.0
4,Busselton,AU,2020-04-19 06:36:31,-33.65,115.33,68.0,34,25,17.52,scattered clouds,0.0,0.0
5,Hithadhoo,MV,2020-04-19 06:36:31,-0.6,73.08,84.49,74,63,11.72,broken clouds,0.0,0.0
6,Archidona,ES,2020-04-19 06:36:31,37.1,-4.39,60.01,93,100,4.0,light rain,1.03,0.0
7,Hobart,AU,2020-04-19 06:36:32,-42.88,147.33,55.99,66,75,9.17,broken clouds,0.0,0.0
8,Ternate,ID,2020-04-19 06:35:57,0.8,127.4,84.85,74,43,4.72,moderate rain,3.21,0.0
9,Nikolskoye,RU,2020-04-19 06:36:32,59.7,30.79,39.0,86,90,11.18,light intensity shower rain,0.0,0.0
10,Punta Arenas,CL,2020-04-19 06:36:33,-53.15,-70.92,41.0,80,75,10.29,broken clouds,0.0,0.0
11,Puerto Ayora,EC,2020-04-19 06:36:33,-0.74,-90.35,79.0,89,13,8.99,light rain,0.2,0.0
12,Jiazi,CN,2020-04-19 06:36:33,22.88,116.07,84.79,55,16,11.79,few clouds,0.0,0.0
13,Lorengau,PG,2020-04-19 06:36:34,-2.02,147.27,84.9,69,10,0.4,light rain,0.28,0.0
14,Port Alfred,ZA,2020-04-19 06:32:46,-33.59,26.89,66.99,81,0,10.0,clear sky,0.0,0.0
15,Bethel,US,2020-04-19 06:36:34,41.37,-73.41,32.0,92,1,6.91,clear sky,0.0,0.0
16,Victoria,HK,2020-04-19 06:36:30,22.29,114.16,82.0,86,29,7.0,scattered clouds,0.0,0.0
17,Nouadhibou,MR,2020-04-19 06:36:34,20.93,-17.03,62.6,88,0,17.22,clear sky,0.0,0.0
18,Goure,NE,2020-04-19 06:36:35,13.98,10.27,78.4,14,35,7.99,scattered clouds,0.0,0.0
19,Namibe,AO,2020-04-19 06:36:35,-15.2,12.15,75.58,69,50,7.05,light rain,0.48,0.0
20,Rikitea,PF,2020-04-19 06:32:35,-23.12,-134.97,77.61,69,82,8.99,broken clouds,0.0,0.0
21,Marevo,RU,2020-04-19 06:36:35,57.31,32.08,35.47,87,96,7.2,light snow,0.0,0.68
22,Barrow,US,2020-04-19 06:35:08,71.29,-156.79,3.2,84,90,6.93,overcast clouds,0.0,0.0
23,Jamestown,US,2020-04-19 06:34:38,42.1,-79.24,44.01,64,1,10.29,clear sky,0.0,0.0
24,Casma,CL,2020-04-19 06:36:36,-41.01,-73.12,51.8,100,66,2.24,light rain,0.28,0.0
25,San Cristobal,VE,2020-04-19 06:36:36,7.77,-72.22,65.93,60,45,0.89,light rain,0.13,0.0
26,Provideniya,RU,2020-04-19 06:32:35,64.38,-173.3,22.5,95,100,14.41,light snow,0.0,0.21
27,Terra Santa,BR,2020-04-19 06:36:36,-2.1,-56.49,73.94,96,94,1.34,moderate rain,4.16,0.0
28,Keti Bandar,PK,2020-04-19 06:36:36,24.14,67.45,86.32,57,73,14.99,broken clouds,0.0,0.0
29,Hermanus,ZA,2020-04-19 06:36:37,-34.42,19.23,66.99,84,93,10.33,overcast clouds,0.0,0.0
30,Jiaocheng,CN,2020-04-19 06:36:37,24.68,116.14,90.14,41,53,6.69,light rain,0.41,0.0
31,Zlobin,HR,2020-04-19 06:36:37,45.29,14.65,59.0,62,94,0.65,overcast clouds,0.0,0.0
32,Bestobe,KZ,2020-04-19 06:36:37,52.5,73.1,64.99,36,89,5.48,overcast clouds,0.0,0.0
33,Tuktoyaktuk,CA,2020-04-19 06:36:37,69.45,-133.04,-0.4,84,75,10.29,broken clouds,0.0,0.0
34,Georgetown,MY,2020-04-19 06:36:38,5.41,100.34,93.2,70,20,8.05,shower rain,0.0,0.0
35,Bluff,NZ,2020-04-19 06:36:38,-46.6,168.33,48.99,77,99,5.99,light rain,0.34,0.0
36,Lebu,CL,2020-04-19 06:36:38,-37.62,-73.65,53.2,90,78,1.45,broken clouds,0.0,0.0
37,Kapaa,US,2020-04-19 06:36:00,22.08,-159.32,75.2,69,75,9.17,broken clouds,0.0,0.0
38,Aljezur,PT,2020-04-19 06:36:39,37.32,-8.8,54.0,91,1,11.95,clear sky,0.0,0.0
39,Castro,BR,2020-04-19 06:35:16,-24.79,-50.01,55.02,68,58,5.26,broken clouds,0.0,0.0
40,Sao Jose Da Coroa Grande,BR,2020-04-19 06:36:39,-8.9,-35.15,78.89,80,89,1.83,light rain,1.34,0.0
41,Tasiilaq,GL,2020-04-19 06:36:39,65.61,-37.64,30.2,92,99,19.46,light snow,0.0,0.0
42,Arraial Do Cabo,BR,2020-04-19 06:36:39,-22.97,-42.03,73.09,65,99,3.24,overcast clouds,0.0,0.0
43,Norman Wells,CA,2020-04-19 06:36:40,65.28,-126.83,32.0,96,90,9.17,light snow,0.0,0.0
44,Atuona,PF,2020-04-19 06:36:40,-9.8,-139.03,82.36,76,74,15.86,broken clouds,0.0,0.0
45,Sfantu Gheorghe,RO,2020-04-19 06:34:19,45.87,25.78,55.0,81,76,1.01,broken clouds,0.0,0.0
46,Kodiak,US,2020-04-19 06:32:49,57.79,-152.41,44.6,75,90,4.7,overcast clouds,0.0,0.0
47,Airai,TL,2020-04-19 06:33:26,-8.93,125.41,72.03,49,37,4.38,light rain,0.12,0.0
48,Vaini,TO,2020-04-19 06:36:41,-21.2,-175.2,78.8,78,40,10.29,smoke,0.0,0.0
49,Bom Jardim,BR,2020-04-19 06:36:41,-7.8,-35.59,71.26,85,88,2.51,light rain,0.36,0.0
50,Ushuaia,AR,2020-04-19 06:36:41,-54.8,-68.3,44.6,75,40,16.11,scattered clouds,0.0,0.0
51,San Ignacio,BZ,2020-04-19 06:36:41,17.16,-89.07,75.99,91,67,3.0,broken clouds,0.0,0.0
52,Lavrentiya,RU,2020-04-19 06:36:42,65.58,-171.0,18.99,93,100,9.53,light snow,0.0,0.19
53,Flinders,AU,2020-04-19 06:33:12,-34.58,150.86,69.01,79,37,1.01,light rain,0.14,0.0
54,Mataura,NZ,2020-04-19 06:36:42,-46.19,168.86,48.99,77,56,5.99,light rain,0.4,0.0
55,Alofi,NU,2020-04-19 06:35:54,-19.06,-169.92,78.8,83,2,13.87,clear sky,0.0,0.0
56,Evanston,US,2020-04-19 06:36:42,42.04,-87.69,51.01,53,40,17.22,scattered clouds,0.0,0.0
57,Iqaluit,CA,2020-04-19 06:36:43,63.75,-68.51,-9.0,76,5,6.93,clear sky,0.0,0.0
58,Ilulissat,GL,2020-04-19 06:36:43,69.22,-51.1,21.2,62,99,21.92,light snow,0.0,0.0
59,Pisco,PE,2020-04-19 06:32:53,-13.7,-76.22,69.01,82,1,3.36,clear sky,0.0,0.0
60,Tessalit,ML,2020-04-19 06:36:43,20.2,1.01,73.67,30,95,6.69,overcast clouds,0.0,0.0
61,Atar,MR,2020-04-19 06:36:44,20.52,-13.05,61.29,60,0,9.78,clear sky,0.0,0.0
62,Upington,ZA,2020-04-19 06:36:44,-28.45,21.26,73.4,53,20,17.22,few clouds,0.0,0.0
63,Port Hueneme,US,2020-04-19 06:36:44,34.15,-119.2,59.0,82,90,6.93,overcast clouds,0.0,0.0
64,Qaqortoq,GL,2020-04-19 06:32:36,60.72,-46.03,26.6,73,100,2.24,light shower snow,0.0,0.0
65,Cape Town,ZA,2020-04-19 06:36:45,-33.93,18.42,62.01,93,97,5.82,fog,0.0,0.0
66,Muisne,EC,2020-04-19 06:33:00,0.6,-80.03,76.71,87,99,4.5,light rain,1.54,0.0
67,Lompoc,US,2020-04-19 06:33:13,34.64,-120.46,50.0,87,75,6.73,broken clouds,0.0,0.0
68,Mar Del Plata,AR,2020-04-19 06:36:45,-38.0,-57.56,63.0,82,79,16.11,broken clouds,0.0,0.0
69,Goderich,CA,2020-04-19 06:36:45,43.75,-81.72,46.0,66,75,22.59,broken clouds,0.0,0.0
70,Khakhea,BW,2020-04-19 06:36:45,-24.69,23.49,69.98,37,0,15.77,clear sky,0.0,0.0
71,Longyearbyen,SJ,2020-04-19 06:36:46,78.22,15.64,28.4,79,75,6.93,broken clouds,0.0,0.0
72,Olafsvik,IS,2020-04-19 06:36:46,64.89,-23.71,36.18,91,100,14.36,light rain,0.28,0.0
