City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
0,Carnarvon,AU,80.6,-24.87,113.63,few clouds,Hospitality Carnarvon
1,Avarua,CK,78.8,-21.21,-159.78,scattered clouds,Paradise Inn
4,Busselton,AU,68.0,-33.65,115.33,scattered clouds,Observatory Guest House
5,Hithadhoo,MV,84.49,-0.6,73.08,broken clouds,Scoop Guest House
6,Archidona,ES,60.01,37.1,-4.39,light rain,Hotel Escua
8,Ternate,ID,84.85,0.8,127.4,moderate rain,Grand Dafam Bela Ternate
11,Puerto Ayora,EC,79.0,-0.74,-90.35,light rain,Finch Bay Galapagos Hotel
12,Jiazi,CN,84.79,22.88,116.07,few clouds,Hotel Jin Hao
13,Lorengau,PG,84.9,-2.02,147.27,light rain,Lorengau Harbourside Hotel
14,Port Alfred,ZA,66.99,-33.59,26.89,clear sky,The Halyards Hotel
16,Victoria,HK,82.0,22.29,114.16,scattered clouds,Mini Hotel Central
17,Nouadhibou,MR,62.6,20.93,-17.03,clear sky,El Medina
18,Goure,NE,78.4,13.98,10.27,scattered clouds,
19,Namibe,AO,75.58,-15.2,12.15,light rain,Chik-Chik Namibe
20,Rikitea,PF,77.61,-23.12,-134.97,broken clouds,Pension Maro'i
25,San Cristobal,VE,65.93,7.77,-72.22,light rain,Pirineos
27,Terra Santa,BR,73.94,-2.1,-56.49,moderate rain,Igreja da paz
28,Keti Bandar,PK,86.32,24.14,67.45,broken clouds,Haji laloo memon house
29,Hermanus,ZA,66.99,-34.42,19.23,overcast clouds,Misty Waves Boutique Hotel
32,Bestobe,KZ,64.99,52.5,73.1,overcast clouds,
37,Kapaa,US,75.2,22.08,-159.32,broken clouds,Sheraton Kauai Resort at Coconut Beach
40,Sao Jose Da Coroa Grande,BR,78.89,-8.9,-35.15,light rain,Crôa Mares Hotel
42,Arraial Do Cabo,BR,73.09,-22.97,-42.03,overcast clouds,Pousada Porto Praia
44,Atuona,PF,82.36,-9.8,-139.03,broken clouds,Villa Enata
47,Airai,TL,72.03,-8.93,125.41,light rain,Juvinal Martin
48,Vaini,TO,78.8,-21.2,-175.2,smoke,Keleti Beach Resort
49,Bom Jardim,BR,71.26,-7.8,-35.59,light rain,Wilton Joaquim 8 wilton
51,San Ignacio,BZ,75.99,17.16,-89.07,broken clouds,Rainforest Haven Inn
53,Flinders,AU,69.01,-34.58,150.86,light rain,Shellharbour Resort & Conference Centre
55,Alofi,NU,78.8,-19.06,-169.92,clear sky,Taloa Heights
59,Pisco,PE,69.01,-13.7,-76.22,clear sky,Hostal San Isidro Oficial
60,Tessalit,ML,73.67,20.2,1.01,overcast clouds,
61,Atar,MR,61.29,20.52,-13.05,clear sky,Oumou Elghoura
62,Upington,ZA,73.4,-28.45,21.26,few clouds,River Place Manor
65,Cape Town,ZA,62.01,-33.93,18.42,fog,Southern Sun Waterfront Cape Town
66,Muisne,EC,76.71,0.6,-80.03,light rain,Quinta Samay
68,Mar Del Plata,AR,63.0,-38.0,-57.56,broken clouds,Gran Hotel Mar del Plata habitaciones
70,Khakhea,BW,69.98,-24.69,23.49,clear sky,
73,Sawara,JP,68.0,35.88,140.5,few clouds,Business Hotel Tomoizumi
74,Gat,IL,71.01,31.61,34.76,clear sky,אהבה ברווחה
75,Codrington,AU,62.8,-38.27,141.97,overcast clouds,Codrington Gardens Bed And Breakfast
80,Surt,LY,62.55,31.21,16.59,clear sky,City Hotel
81,Kaniama,CD,67.35,-7.57,24.18,moderate rain,
82,Kaeo,NZ,64.99,-35.1,173.78,overcast clouds,Bushido Lodge
85,Ambon,ID,89.6,-3.7,128.18,shower rain,Swiss-Belhotel Ambon
86,Port Elizabeth,ZA,60.8,-33.92,25.57,clear sky,39 On Nile Guest House
87,Sampit,ID,76.15,-2.53,112.95,light rain,Aquarius Boutique Hotel Sampit
89,Souillac,MU,82.4,-20.52,57.52,few clouds,Bils' Villa
91,Tiarei,PF,78.8,-17.53,-149.33,broken clouds,Le Rocher de Tahiti
93,Vao,NC,77.31,-22.67,167.48,clear sky,Hotel Kou-Bugny
95,Cururupu,BR,75.65,-1.83,-44.87,light rain,Pousada Través'cia
96,Bastia,FR,62.01,42.67,9.33,broken clouds,Hotel Santa Maria
97,Monrovia,LR,77.0,6.3,-10.8,broken clouds,Eco-Hotel Hall & Restaurant
99,Boca Do Acre,BR,67.93,-8.75,-67.4,clear sky,Hotel Linhares
100,Bambous Virieux,MU,82.4,-20.34,57.76,few clouds,Casa Tia Villa
103,Nishihara,JP,77.0,26.18,127.76,overcast clouds,Minshuku Agaihama
104,Abu Zabad,SD,83.55,12.35,29.25,overcast clouds,محي الدين نوري
